,genres_str,app_name,release_date,price,game_id,developer,year,user_id,user_reviews_item_id,review,posted_date,items_count,steam_id,users_items_item_id,item_name,playtime_forever,playtime_2weeks,recommend
10852,indie,Big Fish Legend,2015-07-20,6.989999771118164,376560,Igry.ru,2015,chidvd,376560,"This game is an casual platformer dedicated to everyone but mostly to under 14 , you control a kitty which have to collect shinies across various levels accompanied by some nice music, there is not much depth to it but is fairly made and simply, you will not be punished if you die, you just start from the last checkpoint, you can play with only Mouse or directional keys on the Keyboard.Considering the price I think is slighty 'fat' for what he can offer.",2015-07-23,3603,76561198119803063,376560,Big Fish Legend,188,0,1
4034,action,Counter-Strike: Source,2004-11-01,19.989999771118164,240,Valve,2004,camo88,240,"Hey guys, well counterstrike source, i have to say its a great arcade shooter which takes the FPS genre back to barebones play style. Comparing it to todays current call of duty's!!! So no perk packages or leveling up, just all out great weapons and fierce competition via the online servers. My ratings a 8 outta 10 and a must own for any FPS fan!!!",2014-01-21,121,76561198059566639,240,Counter-Strike: Source,21,0,1
3858,earlyaccess,Paint the Town Red,2015-10-13,14.989999771118164,337320,South East Games,2015,76561198098964713,337320, timo game jogabilidade facil os gr ficos bons e tudo   quadrado deixando o jogo engra ado,2024-01-28,341,76561198059818459,337320,Paint the Town Red,916,0,1
24518,action,Counter-Strike: Global Offensive,2012-08-21,14.989999771118164,730,Valve,2012,76561198105242944,730,lolololol,2015-09-01,29,76561198059555148,730,Counter-Strike: Global Offensive,2333,0,1
17495,action,Aliens vs. Predator™,2010-02-16,14.989999771118164,10680,Rebellion,2010,76561198063235007,10680,"I highly reccomend this ! I have played this game countless times on my consoles and finally decided to buy it on steam. Although admittedly I am a tad disappointed in how short it is but that doesn't stop me from loving it to bits, multiplayer is dead last time I checked but hey, you can stalk your prey by running through vents with the shadows being your best friend and hunting down mercenaries using epic weapons and stealthy cloaking.Oh yeah and you can be a human too if you want.",2014-11-28,10,76561198059615734,10680,Aliens vs. Predator,148,0,1
23673,action,Killing Floor,2009-05-14,19.989999771118164,1250,Tripwire Interactive,2009,brendoboy,1250,great game,2014-07-03,1409,76561197971666535,1250,Killing Floor,548,0,1
9728,indie,The Deer,2015-12-02,0.9900000095367432,400240,"Fabio Ferrara,Giulia Airoldi",2015,McCatson,400240,I learnt about some big manatees and that was about it.,2015-12-04,113,76561198060108179,400240,The Deer,0,0,1
8862,action,Mafia II,2011-03-22,29.989999771118164,50130,"2K Czech,Feral Interactive (Mac)",2011,76561198043415920,50130,"I love the story and gameplay, if only it wasnt as linear or as short (10 hours) still dont regret purchace, <3",2014-06-29,300,76561198059582003,50130,Mafia II,439,0,1
18076,freetoplay,Warframe,2013-03-25,-1.0,230410,Digital Extremes,2013,Blaze_It_Fgts,230410,"The magic of Warframe is not how beautiful the game is in terms of graphic, even though it's Free-to-play.Not how fluid the combat is.Not the MR system, which requires you to actually know how to play the game in order to rank up.Not the various amounts of warframes and how each of them have their unique set of skills.Not the trading system, where anyone can get platinum as long as they work for it.Not the free-to-play system, where one doesn't require to pay in order to get ahead (more like pay-to-get-stuff-slighty faster)Not how there's an epic lore behind all this grinding (Second Dream. I crie evritiem) (Ordan Karris anyone?)Not the ludicrious amount of weapons that can be crafted.Not how you can build your frames and weapons anyway you want? (More firerate? Go for it. Want to achieve critting a crit? Hell yeah you do. More damage per bullet?      yeah)Not the helpful companions which varies from cats to dogs to tiny floating robots.Its beauty lies in how much the developers care for the players, how they work sleepless nights in order for us to get the best updates.Its beauty lies in how this game even existed, even though publishers they talked to had thought that this game would fail terribly. They risked everything they had in order to self-publish this game. It's beauty lies in how DE meticulously created, drawn, and perfected each and every single aspect of the game (except RNG cus      dat     ).Truly, this game wholly deserves my 1000 hours. I've played on and off since late 2013, and it's a giant shocker to what I came back to, to be honest. A refined diamond standing in a sea of wrinkly         . ",2024-07-21,121,76561198059566639,230410,Warframe,264,0,1
17875,adventure,Middle-earth™: Shadow of Mordor™,2014-09-30,19.989999771118164,241930,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)",2014,SilencerLX,241930,Best LOTR game ever.,2014-12-31,71,76561198059584051,241930,Middle-earth: Shadow of Mordor,1255,0,1
